district,year,forest_km2,edge_km2,edge_ratio
Magura,2020,292.473388671875,238.64572143554688,0.815957043200545
Meherpur,2020,319.9520568847656,230.47503662109375,0.720342412751239
Narail,2020,322.9488525390625,244.43832397460938,0.7568948520882054
Satkhira,2020,862.1688842773438,647.5570068359375,0.7510790735375581
Habiganj,2020,510.1058044433594,180.4587860107422,0.35376736441504225
Maulvibazar,2020,1132.8028564453125,305.66278076171875,0.2698287517749343
Sunamganj,2020,142.16123962402344,128.04989624023438,0.9007370544804646
Sylhet,2020,787.9243774414062,515.4254760742188,0.6541560216069697
Bogra,2020,123.65335845947266,117.46669006347656,0.9499676476799959
Joypurhat,2020,42.7280158996582,41.36975860595703,0.9682115524181867
Naogaon,2020,120.91502380371094,113.19847106933594,0.9361820186472297
Natore,2020,423.16473388671875,345.1309814453125,0.815594858946124
Nawabganj,2020,316.45452880859375,233.414794921875,0.7375934729095155
Pabna,2020,519.9893798828125,402.68096923828125,0.7744022951565501
Rajshahi,2020,403.78631591796875,241.80935668945312,0.5988547584623396
Sirajganj,2020,198.06117248535156,181.8968963623047,0.9183874561570498
Dinajpur,2020,101.08243560791016,94.99431610107422,0.9397707478037904
Gaibandha,2020,62.2114372253418,60.96894454956055,0.9800279059414637
Kurigram,2020,186.6989288330078,169.4376983642578,0.9075451017494094
Lalmonirhat,2020,129.14608764648438,121.05252075195312,0.9373301426158103
Nilphamari,2020,80.7257308959961,78.75930786132812,0.9756406908572753
Panchagarh,2020,73.82839965820312,65.0996322631836,0.881769516399782
Rangpur,2020,196.40289306640625,179.78810119628906,0.9154045461820182
Thakurgaon,2020,81.49698638916016,78.6844482421875,0.9654890533799327
Barguna,2020,189.07444763183594,176.63377380371094,0.9342022468718282
Barisal,2021,1016.0205688476562,615.343994140625,0.6056412763754694
Bhola,2021,550.6622314453125,380.9788513183594,0.6918557866560261
Jhalokati,2021,435.822509765625,256.7281799316406,0.5890659022401182
Patuakhali,2021,93.6081771850586,89.91004943847656,0.9604935395839295
Pirojpur,2021,635.7945556640625,393.4963684082031,0.6189049039547242
Bandarban,2021,4580.08837890625,193.5000762939453,0.04224810970572454
Brahamanbaria,2021,277.3625793457031,208.07386779785156,0.7501872397087478
Chandpur,2021,878.1578369140625,520.6177368164062,0.5928521217164227
Chittagong,2021,2830.117919921875,1072.254150390625,0.3788726055698147
Comilla,2021,1020.6535034179688,864.1571655273438,0.8466704544034294
Cox's Bazar,2021,986.7039794921875,361.63128662109375,0.36650433578590536
Feni,2021,428.05731201171875,280.7059326171875,0.6557671712181913
Khagrachhari,2021,2737.898193359375,193.10072326660156,0.07052881795786162
Lakshmipur,2021,678.5988159179688,300.62176513671875,0.4430036688614837
Noakhali,2021,960.753173828125,591.438720703125,0.6155990287771155
Rangamati,2021,4996.85205078125,374.6241455078125,0.07497203073067585
Dhaka,2021,389.7979736328125,270.5482177734375,0.6940729200103344
Faridpur,2021,626.0254516601562,453.1090087890625,0.723786880529319
Gazipur,2021,745.370361328125,456.0298156738281,0.611816406090067
Gopalganj,2021,704.3880004882812,503.8695068359375,0.7153294867127996
Jamalpur,2021,119.45375061035156,104.98329162597656,0.8788614094539696
Kishoreganj,2021,304.2510986328125,248.28900146484375,0.8160660802230759
Madaripur,2021,506.13092041015625,380.34381103515625,0.7514731775860183
Manikganj,2021,454.9847106933594,354.9377746582031,0.7801092351373897
Munshiganj,2021,290.349853515625,217.05918884277344,0.747578089723722
Mymensingh,2021,319.3950500488281,264.6207580566406,0.8285061337556303
Narayanganj,2021,155.00804138183594,117.60176086425781,0.7586816775173998
Narsingdi,2021,551.1567993164062,298.0743408203125,0.5408158643602162
Netrakona,2021,56.659698486328125,54.735416412353516,0.966037904800377
Rajbari,2021,278.7735595703125,206.13681030273438,0.739441755597135
Shariatpur,2021,470.70013427734375,315.58319091796875,0.6704548563651402
Sherpur,2021,109.45665740966797,66.15289306640625,0.6043752352021228
Tangail,2021,948.7477416992188,637.0771484375,0.6714926638945007
Bagerhat,2021,1484.35693359375,992.4551391601562,0.6686094945892433
Chuadanga,2021,620.5694580078125,414.51800537109375,0.6679639160808898
Jessore,2021,738.4896240234375,598.6131591796875,0.8105911575552337
Jhenaidah,2021,684.4859619140625,478.4926452636719,0.6990539936358064
Khulna,2021,877.4945678710938,683.2305297851562,0.7786151103393777
Kushtia,2021,403.9320373535156,318.6930236816406,0.7889768431582093
Magura,2021,287.9382019042969,236.17698669433594,0.820234984911224
Meherpur,2021,328.8193359375,231.73324584960938,0.7047433667150761
Narail,2021,299.44085693359375,234.38186645507812,0.7827317516228469
Satkhira,2021,822.4583129882812,631.5457763671875,0.767875728646427
Habiganj,2021,508.74871826171875,184.6756134033203,0.36299966324105115
Maulvibazar,2021,1104.8590087890625,299.9827880859375,0.27151227957558305
Sunamganj,2021,129.13833618164062,114.81216430664062,0.8890633695725381
Sylhet,2021,671.228759765625,455.08984375,0.6779951501316855
Bogra,2021,111.13032531738281,104.48784637451172,0.9402280257535421
Joypurhat,2021,42.61521911621094,40.97427749633789,0.961494000174017
Naogaon,2021,159.95965576171875,146.17628479003906,0.913832204088937
Natore,2021,395.47998046875,323.20245361328125,0.8172409972059762
Nawabganj,2021,360.0543212890625,251.75363159179688,0.6992101377660773
Pabna,2021,510.5581359863281,391.5955505371094,0.7669950255137951
Rajshahi,2021,369.1785888671875,227.6527557373047,0.6166466924201909
Sirajganj,2021,185.9571075439453,169.0522918701172,0.9090929306381409
Dinajpur,2021,65.2439956665039,62.25483322143555,0.9541848653729375
Gaibandha,2021,53.449005126953125,52.14936065673828,0.9756844029719935
Kurigram,2021,147.6155548095703,136.08786010742188,0.9219073171725053
Lalmonirhat,2021,92.85144805908203,88.2431869506836,0.9503695289117498
Nilphamari,2021,41.564151763916016,40.77776336669922,0.981080128816691
Panchagarh,2021,76.51092529296875,66.49531555175781,0.8690956918523719
Rangpur,2021,153.50074768066406,142.34933471679688,0.9273527123980785
Thakurgaon,2021,47.49775314331055,45.978816986083984,0.9680208840059525
Barguna,2021,184.74002075195312,172.06361389160156,0.9313824540629887
Barisal,2022,878.8975219726562,559.1544189453125,0.6361997900395816
Bhola,2022,489.5291442871094,364.5936584472656,0.7447843763790927
Jhalokati,2022,388.83544921875,239.22866821289062,0.6152439770950667
Patuakhali,2022,54.03056335449219,52.12373352050781,0.964708311081753
Pirojpur,2022,570.81201171875,352.0614013671875,0.6167729377437399
Bandarban,2022,4555.61083984375,245.44342041015625,0.053877170162009394
Brahamanbaria,2022,301.5656433105469,211.63107299804688,0.7017744815848037
Chandpur,2022,777.5322265625,531.3696899414062,0.683405358374163
Chittagong,2022,2604.815673828125,1054.97412109375,0.4050091266317222
Comilla,2022,904.33740234375,754.092529296875,0.8338619273542276
Cox's Bazar,2022,933.583251953125,350.0063781738281,0.37490644507770354
